Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2021-04-02,1.183859,1.188217,1.199795,1.17241
ADA,2021-04-03,1.190702,1.183859,1.243297,1.181267
ADA,2021-04-04,1.163845,1.190735,1.23991,1.16086
ADA,2021-04-05,1.181918,1.163845,1.193175,1.153233
ADA,2021-04-06,1.211882,1.181918,1.225536,1.163506
ADA,2021-04-07,1.253378,1.211883,1.341247,1.1917
ADA,2021-04-08,1.17412,1.253378,1.2894,1.160631
ADA,2021-04-09,1.219446,1.174131,1.225029,1.170938
ADA,2021-04-10,1.202508,1.21944,1.228426,1.192612
ADA,2021-04-11,1.217791,1.202508,1.250632,1.195253
ADA,2021-04-12,1.263003,1.21779,1.288902,1.1993
ADA,2021-04-13,1.315864,1.262982,1.346541,1.262972
ADA,2021-04-14,1.413706,1.315785,1.436025,1.28326
ADA,2021-04-15,1.453122,1.413574,1.556832,1.350439
ADA,2021-04-16,1.4801,1.453122,1.495835,1.411876
ADA,2021-04-17,1.412362,1.4803,1.519918,1.339642
ADA,2021-04-18,1.373469,1.412441,1.45887,1.36038
ADA,2021-04-19,1.28078,1.373475,1.383786,1.093156
ADA,2021-04-20,1.196015,1.280685,1.326196,1.172437
ADA,2021-04-21,1.2692,1.196006,1.282244,1.123868
ADA,2021-04-22,1.20412,1.2689,1.288,1.198052
ADA,2021-04-23,1.146205,1.203914,1.27981,1.117873
ADA,2021-04-24,1.15928,1.1456,1.1685,0.935884
ADA,2021-04-25,1.104234,1.159288,1.198142,1.09598
ADA,2021-04-26,1.090123,1.104234,1.146939,1.021488
ADA,2021-04-27,1.238644,1.090269,1.252435,1.08254
ADA,2021-04-28,1.308119,1.238686,1.334007,1.226394
ADA,2021-04-29,1.33835,1.3081,1.350141,1.236179
ADA,2021-04-30,1.307681,1.338376,1.411406,1.268814
ADA,2021-05-01,1.354813,1.307681,1.37168,1.2888
ADA,2021-05-02,1.3535,1.354846,1.36928,1.316181
ADA,2021-05-03,1.32823,1.3535,1.356596,1.2961
ADA,2021-05-04,1.363124,1.328219,1.380861,1.323872
ADA,2021-05-05,1.272498,1.363126,1.36718,1.258432
ADA,2021-05-06,1.481142,1.272409,1.497452,1.261608
ADA,2021-05-07,1.649078,1.481142,1.701642,1.431179
ADA,2021-05-08,1.655544,1.649197,1.747845,1.53
ADA,2021-05-09,1.623982,1.6551,1.655893,1.565108
ADA,2021-05-10,1.769162,1.623982,1.833881,1.5767
ADA,2021-05-11,1.645568,1.769298,1.825606,1.545609
ADA,2021-05-12,1.766299,1.645494,1.77999,1.598557
ADA,2021-05-13,1.5621,1.766293,1.821891,1.5487
ADA,2021-05-14,1.929175,1.56333,1.971694,1.500136
ADA,2021-05-15,2.00923,1.929175,2.045313,1.815285
ADA,2021-05-16,2.172269,2.009232,2.380815,1.967488
ADA,2021-05-17,2.308735,2.172244,2.467821,2.01094
ADA,2021-05-18,2.031447,2.308811,2.330375,1.914544
ADA,2021-05-19,2.005466,2.031604,2.150017,1.976533
ADA,2021-05-20,1.48351,2.005466,2.029613,1.028181
ADA,2021-05-21,1.803755,1.484371,1.950223,1.333676
ADA,2021-05-22,1.552338,1.804191,1.870446,1.323668
ADA,2021-05-23,1.464393,1.552282,1.600698,1.3699
