Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2016-12-17,7.819352,7.81339,7.907277,7.747462
ETH,2016-12-18,7.865732,7.819362,7.885113,7.479423
ETH,2016-12-19,7.860455,7.865859,7.918363,7.692146
ETH,2016-12-20,7.618576,7.860457,7.867449,7.570676
ETH,2016-12-21,7.640694,7.618527,7.741548,7.518582
ETH,2016-12-22,7.911814,7.640694,7.96998,7.637829
ETH,2016-12-23,7.534234,7.911814,7.911888,7.454727
ETH,2016-12-24,7.132389,7.534234,7.679232,7.065926
ETH,2016-12-25,7.209851,7.132436,7.37767,7.075794
ETH,2016-12-26,7.159678,7.209833,7.324816,7.111302
ETH,2016-12-27,7.282981,7.159679,7.355092,7.026061
ETH,2016-12-28,7.155364,7.283243,7.345281,7.067745
ETH,2016-12-29,7.535182,7.15532,7.786838,7.03719
ETH,2016-12-30,8.26251,7.534893,8.54703,7.525502
ETH,2016-12-31,8.148276,8.26251,8.456529,8.030037
ETH,2017-01-01,8.053795,8.148222,8.199878,7.954361
ETH,2017-01-02,8.1878,8.053784,8.597696,8.052627
ETH,2017-01-03,8.372522,8.187803,8.455062,8.056946
ETH,2017-01-04,9.618818,8.372508,9.947495,8.25594
ETH,2017-01-05,11.077238,9.618814,11.088381,9.41
ETH,2017-01-06,10.21429,11.077261,11.64494,9.146257
ETH,2017-01-07,10.115514,10.21429,10.435755,9.502616
ETH,2017-01-08,9.840184,10.116696,10.143104,9.529351
ETH,2017-01-09,10.344349,9.840115,10.461842,9.776742
ETH,2017-01-10,10.353019,10.344319,10.861796,10.116931
ETH,2017-01-11,10.498917,10.353021,10.694535,10.27223
ETH,2017-01-12,9.629053,10.498905,10.67518,9.348004
ETH,2017-01-13,9.72321,9.629012,10.03351,9.160316
ETH,2017-01-14,9.696423,9.723212,9.778177,9.389354
ETH,2017-01-15,9.68382,9.696373,9.866326,9.504347
ETH,2017-01-16,9.74194,9.683821,9.858087,9.628545
ETH,2017-01-17,9.588867,9.74194,9.770585,9.515074
ETH,2017-01-18,10.259016,9.588867,10.598553,9.557278
