Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
YFI,2021-04-09,47188.3743364846,44742.4207885783,49027.6510904878,44603.1794301001
YFI,2021-04-10,45500.2735726296,47251.9529381323,48748.6685023713,45285.9405617287
YFI,2021-04-11,44565.3211136896,45790.7126998799,46103.9416258968,43287.2384984572
YFI,2021-04-12,45286.4220019841,44566.1194414211,46889.3014744137,44305.9876339486
YFI,2021-04-13,43199.8414993464,45033.152794419,45245.4242265721,41676.1007649719
YFI,2021-04-14,45245.3497248128,43023.2820624957,46357.9217836453,41972.6176207426
YFI,2021-04-15,46157.4870379985,44795.9303286284,46307.9205686513,42837.0480398973
YFI,2021-04-16,50747.0115059081,47250.1429092609,53035.2962870013,46986.4023211845
YFI,2021-04-17,51862.6769424115,50304.4643985328,52052.6666320621,45894.5763496915
YFI,2021-04-18,49967.2267109105,53151.6854839881,54554.9671289948,48602.9308730759
YFI,2021-04-19,52022.6423543301,48762.5410488766,52175.0642085477,41945.7758624548
YFI,2021-04-20,49032.7999956663,53553.7740005608,57544.1808491352,45901.7471871275
YFI,2021-04-21,49354.2014530262,46858.4991659726,51069.4588783752,43292.5120646649
YFI,2021-04-22,45779.6285345165,48954.9904960113,50625.3652484869,45170.1618263224
YFI,2021-04-23,46420.1822933986,45392.6069194034,51752.3236784691,44091.3251458477
YFI,2021-04-24,42278.8697822273,45408.0817950884,46285.7649250412,39110.2579408135
YFI,2021-04-25,40654.1893664654,43380.40498619,43389.034851122,39092.7740830242
YFI,2021-04-26,39268.1848090276,39324.1060529183,42386.2886479388,37768.3129103031
YFI,2021-04-27,43888.6801935078,39838.8141012719,44593.9724705397,39591.6224358889
YFI,2021-04-28,48479.9676019824,45310.4593924558,49415.3146299154,44251.0950927222
YFI,2021-04-29,47894.2546069269,48806.9356353722,50492.7884148373,47377.7288889628
YFI,2021-04-30,46691.2469783576,48093.2188021919,48542.2936017696,45955.9067520195
YFI,2021-05-01,48483.3829578273,46841.9908551591,49439.8243419148,46170.1344631104
YFI,2021-05-02,49804.4901586679,48952.731085534,50659.1745207993,48353.6411778282
YFI,2021-05-03,48169.9014522809,49839.3601736316,49912.1275644446,47490.321451786
YFI,2021-05-04,53462.9063640984,48534.2869164068,54268.8013799816,48534.2869164068
YFI,2021-05-05,50587.7987797283,53423.0301553255,55543.3134766679,50037.4061668812
YFI,2021-05-06,53833.6319224845,50306.675450164,53837.0622870849,49919.2424379091
YFI,2021-05-07,54168.4965027553,54543.127351751,57870.8931833785,52541.034044965
YFI,2021-05-08,52545.6410885333,52428.966065729,54167.1070205716,50381.5145937991
YFI,2021-05-09,54024.4709641274,53424.0538318777,55411.0887751249,52176.1595778639
YFI,2021-05-10,53180.3469867482,54215.3194545703,54808.0438760144,51936.6090560847
YFI,2021-05-11,59580.0844901576,53425.7066591263,61321.5660985886,49765.7685264137
YFI,2021-05-12,78582.8752296391,62462.4108135124,81731.8503098165,57260.7687949128
YFI,2021-05-13,73569.2491683634,82964.8652316698,95071.028012645,70057.8614473619
YFI,2021-05-14,66774.3582194161,65674.6277303387,76640.5013071162,61421.0141196452
YFI,2021-05-15,78570.3724559174,66093.491793092,81691.9884704148,65580.8847539953
YFI,2021-05-16,68119.1049088226,77745.5446804456,79361.7470098715,66448.2632690732
YFI,2021-05-17,64147.6567237848,67021.3249136988,70799.2105855122,59833.8038801136
YFI,2021-05-18,62852.2388470926,65901.3070251242,68936.3316308327,58377.0839520808
YFI,2021-05-19,74994.1492265911,64311.540017906,77700.3511442683,63737.2709656181
YFI,2021-05-20,51412.6514669058,72950.3668678962,74602.1290319298,36019.2722913567
YFI,2021-05-21,50395.5249902197,45975.8041097174,57323.4930670537,39135.6995639485
YFI,2021-05-22,43880.9783643119,51906.4826178342,54453.0625185927,35828.5000752289
YFI,2021-05-23,38647.2359889398,43708.1984612076,44771.4306313061,37070.2283774353
YFI,2021-05-24,32630.1130665858,38484.1897090074,40192.6388244033,24061.5321166723
YFI,2021-05-25,45496.1912989358,32626.9396548072,51498.2887420349,32024.4621760997
YFI,2021-05-26,46813.0780311152,48431.1208568678,50991.8145807135,42200.684296056
YFI,2021-05-27,48776.2992037236,46931.2489494566,51578.2604147411,45759.3724224065
YFI,2021-05-28,47123.3697753191,50286.9010880222,50310.7033700154,44973.20932381
YFI,2021-05-29,39715.8543646102,46914.8366527622,47335.2461948936,39038.2954411446
YFI,2021-05-30,39115.8930704709,40868.1418711188,42948.5625972482,37532.3864485026
YFI,2021-05-31,42069.8564992267,39195.50222749,43934.5670939251,37356.4117193074
YFI,2021-06-01,46636.8258593108,41899.5150002052,47254.2541004028,40036.0768151098
YFI,2021-06-02,44406.468844761,46992.5203957612,47796.885229881,43936.6938867079
YFI,2021-06-03,44963.8323103624,45065.3848887353,46623.9547490366,43794.1094594178
YFI,2021-06-04,45850.3897630977,45187.5504300037,47186.0167232853,44572.6355648294
YFI,2021-06-05,43006.6795129031,45911.8188966022,45975.2236560009,40872.7039281323
YFI,2021-06-06,41125.1500464303,42630.6945729406,44610.1546496648,40778.8715616818
YFI,2021-06-07,42488.7891425493,42262.8425558728,44734.3151790166,41771.6352798983
YFI,2021-06-08,40795.8750079195,43079.3752922109,44307.8035569083,40466.6664106201
YFI,2021-06-09,39739.8077670383,40455.3808501628,41095.5163436567,35914.0404652984
YFI,2021-06-10,40066.3387056808,39712.0787361767,41158.5433342068,37759.4309361433
YFI,2021-06-11,38062.4301178953,40504.8654084757,40642.7976138446,37109.8118780454
YFI,2021-06-12,36909.9366145069,37803.4414024091,38368.6584254869,36073.4284749894
YFI,2021-06-13,36709.7483261991,36905.7971852342,37305.4818060317,34889.4173004415
YFI,2021-06-14,38473.7610916659,36341.6976378492,38967.0499118592,35258.1447138872
YFI,2021-06-15,39009.2949960529,38532.0947019372,40457.5279725611,38044.9460453371
YFI,2021-06-16,39158.7949324347,39424.2053681769,40214.2710559301,38463.0314111574
YFI,2021-06-17,36538.75564886,38915.93649442,38968.7236058035,36163.0338176842
YFI,2021-06-18,35879.2574537471,36409.5687475757,37614.8486636382,35364.7567632537
YFI,2021-06-19,33540.3900191494,36315.1783382861,36485.2343302544,32679.9489906914
YFI,2021-06-20,33562.4098185583,34141.7028816285,34896.5835274017,33496.0957852405
YFI,2021-06-21,36303.7350220095,33259.8870853692,37357.0240561995,32883.6216055842
YFI,2021-06-22,29315.8986689702,36027.6055925891,36256.4606056352,29289.4841689431
YFI,2021-06-23,28629.3136421604,29370.3880141447,31403.144852086,25500.0386243993
YFI,2021-06-24,30664.4632008393,28712.035814652,32266.6379960439,27654.9302097125
YFI,2021-06-25,31425.5226308473,30953.8036612267,32085.8065848643,29422.7128448354
YFI,2021-06-26,28379.2747877861,31332.4533994492,31836.4943941334,27888.3503161206
YFI,2021-06-27,28197.5999868293,28141.4309003849,28949.0127144391,26825.7050699486
YFI,2021-06-28,29680.2729588376,28702.4523957902,29704.9206721174,27916.4446437204
YFI,2021-06-29,31431.2318787209,30264.094052193,32845.1632476779,29804.4996588881
YFI,2021-06-30,33577.2527785664,31377.1636418564,34680.7286959846,31278.8419673678
YFI,2021-07-01,33669.5129044312,33632.0211061403,34019.9651682602,31197.0201430361
YFI,2021-07-02,32315.408466211,33842.1244380952,34262.1764712606,31620.1743358674
YFI,2021-07-03,31820.6956659746,31953.8189704141,32369.2690671399,30602.6941416338
YFI,2021-07-04,32385.0561052648,32039.8685402145,33947.2267607844,31649.5335554965
YFI,2021-07-05,34088.8552292862,32662.6608907019,34470.3353277813,31642.8325013962
YFI,2021-07-06,32670.2212266612,33396.3502152604,33418.7974299,31062.8628328691
YFI,2021-07-07,35912.1080044681,32438.0805119585,37311.9954525559,32421.2365397796
YFI,2021-07-08,35909.3887629666,35915.9692443232,37769.4786437175,35183.583857753
YFI,2021-07-09,32758.3505573033,35423.2667103323,35501.0738106624,32369.9255087194
YFI,2021-07-10,33741.4538490176,33068.7822828836,34005.3160301027,31794.0033634841
YFI,2021-07-11,33372.539485765,33494.8845282371,34064.6940950963,32485.6859007497
YFI,2021-07-12,33909.9639580301,33171.2956149886,34296.214979982,32811.8114194663
YFI,2021-07-13,32864.658619452,33810.9312087075,34390.5251351453,32252.201151259
YFI,2021-07-14,32243.3884846624,32856.5444952439,33860.3563746755,31981.6714883913
YFI,2021-07-15,31731.1957534149,32288.4772261112,32417.5007194315,30150.0514366495
YFI,2021-07-16,30218.9660523938,31531.7847566618,32298.7478718573,29762.688475467
YFI,2021-07-17,27676.5986454365,30099.1845208541,30556.6405381883,27621.6907687338
YFI,2021-07-18,27773.6167399559,27629.2815305881,28150.1287992853,27118.5581517326
YFI,2021-07-19,27786.1114095507,27668.3283856657,28898.0733023722,27569.3695030306
YFI,2021-07-20,27066.7875450575,27974.7800830618,28328.0334095182,26625.0062234521
YFI,2021-07-21,25700.5196015915,26887.5627687477,27269.7518024094,24828.7739557878
YFI,2021-07-22,28042.5395004078,25821.0768221806,29739.1190974761,25346.4926929561
YFI,2021-07-23,28234.0515175584,28270.7848533837,28858.6672229413,27526.1683395352
YFI,2021-07-24,28951.4705487764,28509.0031570187,29365.3745645209,27976.6623825748
YFI,2021-07-25,29196.3951288754,29426.4974240927,30289.2638441402,28953.5893661881
YFI,2021-07-26,29539.4930661401,29512.5689594312,29743.9957340806,28691.7845143394
YFI,2021-07-27,29986.7091934281,29972.0574988012,33155.6439223166,29854.1073834738
YFI,2021-07-28,29945.5625922427,30058.3315296333,31000.7871009314,28837.3288215815
YFI,2021-07-29,30002.445093031,29638.5210478978,30683.2068799088,29238.5070453131
YFI,2021-07-30,30198.1433277783,29868.2144490204,30316.9060929691,29441.6509537138
YFI,2021-07-31,30964.863149678,30861.6700724437,31347.6504213505,29787.2376029224
YFI,2021-08-01,33559.5628251921,31333.1050215901,33725.9134955988,30737.6123351345
YFI,2021-08-02,32531.2594463811,33100.0406275767,33984.6616214854,31985.317166801
YFI,2021-08-03,32209.9495345041,31713.9001489614,33491.5056708067,31111.7250917942
YFI,2021-08-04,31807.3982735224,31992.5757185116,32549.6588750928,30595.6399271951
YFI,2021-08-05,33087.1769819221,31869.459189241,33267.6707018122,31245.1224488078
YFI,2021-08-06,32961.7583043823,33010.2079595554,33689.9489965864,31374.4987571016
YFI,2021-08-07,33105.8102689429,32931.3913738325,33707.3827609083,32183.8140619801
YFI,2021-08-08,34207.0459600269,33231.506008612,35087.300487742,32856.5485785887
YFI,2021-08-09,33329.1553384399,34646.1551007463,34842.7660524051,32144.1687457406
YFI,2021-08-10,33765.135192889,32745.9109073922,34325.1681659773,31816.6065321974
YFI,2021-08-11,35040.5214045021,33947.9778701585,35639.4119060349,33576.1898472451
YFI,2021-08-12,36066.4316120147,34892.7441440735,37453.8126532826,34808.6711209618
YFI,2021-08-13,36256.5462563534,37998.312771854,39968.1626450384,35572.5694384545
YFI,2021-08-14,39475.1233029092,37027.0921854442,40465.2259299857,36660.6397043398
YFI,2021-08-15,39681.979295639,40220.9381204329,40224.7081372576,38269.8454137594
YFI,2021-08-16,39665.9521858909,39555.5899796834,40033.0747015416,37735.8493673191
YFI,2021-08-17,40036.0239473779,39849.5899497039,41987.9135525421,39043.4219026623
YFI,2021-08-18,38174.2496360074,39331.0616377117,41845.2979394596,37439.7080571489
YFI,2021-08-19,37597.258012388,37868.0287763784,38830.8882810789,36850.4599630661
YFI,2021-08-20,38556.0361493691,37162.0283820947,38756.5276166252,36137.5491196634
YFI,2021-08-21,39322.8391397547,39136.7810076263,40304.5341516238,38888.6636243515
YFI,2021-08-22,39095.4198415338,39778.8032766562,39973.1075220936,38648.918996816
YFI,2021-08-23,38997.3642326873,38834.4263447356,41036.4650188917,38422.8822831836
YFI,2021-08-24,40045.3116268083,39514.6139665944,40641.1093964621,39497.1417124517
YFI,2021-08-25,37830.2657216145,39998.4615708829,40386.7917676355,36927.4533705671
YFI,2021-08-26,37732.0038603467,37123.4870205631,38200.8459297954,36049.7052672926
YFI,2021-08-27,36763.935202199,38311.2416756559,38429.2994825276,35558.3077190609
YFI,2021-08-28,37785.6333212878,36188.6121741105,38146.8599088682,35225.9053159472
YFI,2021-08-29,37824.5554993781,37830.8187204138,38290.8333752596,37105.6187670845
