Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
SOL,2021-10-05,165.9695117099,168.6311180304,172.3323524822,162.2899798589
SOL,2021-10-06,163.3662901937,167.1519023212,170.1546560123,160.0530350972
SOL,2021-10-07,154.0278237293,164.6186851486,165.4509841849,150.3104674947
SOL,2021-10-08,155.2123888427,153.8460379919,161.3892679922,150.3488285171
SOL,2021-10-09,160.976035125,154.2410915735,168.8820305988,152.4743314702
SOL,2021-10-10,156.8011116133,158.8179124205,161.5474979093,154.230060838
SOL,2021-10-11,149.0672728711,156.8086579689,158.4339109839,145.8697055221
SOL,2021-10-12,144.8984162867,147.6416435516,154.0182987814,140.3457992773
SOL,2021-10-13,150.7133609262,144.8138337153,153.4333290223,138.6743195187
SOL,2021-10-14,148.2033549438,152.4450466199,155.5092821684,144.2799840396
SOL,2021-10-15,149.8664012962,148.0024634152,155.6572991598,147.2938425153
SOL,2021-10-16,160.4231278734,150.0295562264,165.2350653491,146.8395554177
SOL,2021-10-17,157.73110191,163.0851732118,164.6610533572,156.5172946358
SOL,2021-10-18,158.7939048109,157.4248747501,167.3717785436,153.2751056955
SOL,2021-10-19,156.0550048016,160.057232319,162.857933454,154.9659805704
SOL,2021-10-20,156.3344154324,157.1276328972,159.4161801919,153.1928730289
SOL,2021-10-21,172.1009069974,155.8217712502,174.7201273501,155.4123157704
SOL,2021-10-22,186.4939394607,176.7154976637,194.1120503027,176.7078123913
SOL,2021-10-23,197.8866220311,190.4492341138,215.0186729531,188.0381386776
SOL,2021-10-24,196.3367522135,196.2633077788,205.7295870509,192.0770529306
SOL,2021-10-25,200.9388692568,197.7701291562,204.8907377994,185.3710581147
SOL,2021-10-26,211.8123028724,202.2453475369,218.6899341212,198.1595710055
SOL,2021-10-27,200.0387307051,209.6704247848,214.1650459442,198.1528570907
SOL,2021-10-28,183.4412646314,199.8634169066,205.5115680818,178.3405080171
SOL,2021-10-29,196.2297700021,184.661884037,201.3916593402,181.8269835396
SOL,2021-10-30,200.1061394129,195.341482708,205.2285848295,194.6464129055
SOL,2021-10-31,189.7074319445,200.3910910684,200.5866553656,187.4895388012
SOL,2021-11-01,203.1844998039,195.8477099273,205.1089810727,185.5666742984
SOL,2021-11-02,204.0980204276,202.6340609707,211.6585106151,197.9717608441
SOL,2021-11-04,242.9303362904,221.0397767633,246.49438292,216.0543102246
SOL,2021-11-07,258.0401853259,243.2892914506,260.0790150243,238.1091672552
SOL,2021-11-08,249.5358061159,258.7222213284,258.9094014148,245.9244951594
SOL,2021-11-09,249.1495040488,249.8839755957,253.2516171554,240.8492612832
SOL,2021-11-10,239.7833117943,248.3533544005,253.137873995,237.8561256854
SOL,2021-11-11,232.345543905,239.0795369364,248.1089389352,217.9436954635
SOL,2021-11-12,236.347536933,233.3128987666,246.4758925523,229.5662313164
SOL,2021-11-13,228.9776969424,233.5228837436,239.0167806313,221.3285791695
SOL,2021-11-14,239.1673101827,228.5841435779,242.0028741418,225.009135893
SOL,2021-11-15,238.5073635471,241.7535021812,241.9964063931,230.6086219141
SOL,2021-11-16,236.7982139728,238.7370747018,246.3772516691,234.7457412535
SOL,2021-11-17,224.5558998067,238.1866844614,238.2010817308,214.4627728824
SOL,2021-11-18,216.7728847271,219.1682834281,222.4526591931,210.0030827324
SOL,2021-11-19,194.2496111704,219.0501954307,222.4631183053,187.5368481862
SOL,2021-11-20,215.0495446882,195.331803437,219.5205383389,189.8323119695
SOL,2021-11-21,218.647151715,215.5175198177,221.3962506347,206.253165321
SOL,2021-11-22,227.0067895307,217.9453737024,235.5576029269,210.8294361081
SOL,2021-11-23,218.0569444843,230.7650421172,232.1986036141,211.9170348698
SOL,2021-11-24,222.1540953783,215.8044603037,226.1760076794,211.0635644442
SOL,2021-11-25,205.0016674985,221.9173841657,222.4161820232,200.2858516537
SOL,2021-11-26,209.9076110028,205.7755496423,216.5222977165,202.1414477163
SOL,2021-11-27,195.7691044474,210.0721567084,210.5739431351,184.1734452408
